Meeting Week,Section,Reference,MP3 URL
November 3-9,Bible Reading,Song of Solomon 2,https://cfp2.jw-cdn.org/a/6f232a3/1/o/bi12_22_Ca_E_02.mp3
November 3-9,Congregation Bible Study,Lesson 32,https://cfp2.jw-cdn.org/a/7f4ac57/1/o/lfb_E_033.mp3
November 3-9,Congregation Bible Study,Lesson 33,https://cfp2.jw-cdn.org/a/759436/1/o/lfb_E_034.mp3
November 10-16,Bible Reading,Song of Solomon 3,https://cfp2.jw-cdn.org/a/a509da/1/o/bi12_22_Ca_E_03.mp3
November 10-16,Bible Reading,Song of Solomon 4,https://cfp2.jw-cdn.org/a/a985a6/1/o/bi12_22_Ca_E_04.mp3
November 10-16,Bible Reading,Song of Solomon 5,https://cfp2.jw-cdn.org/a/71cb20/1/o/bi12_22_Ca_E_05.mp3
November 10-16,Congregation Bible Study,Lesson 34,https://cfp2.jw-cdn.org/a/0a687c/1/o/lfb_E_035.mp3
November 10-16,Congregation Bible Study,Lesson 35,https://cfp2.jw-cdn.org/a/15065e/1/o/lfb_E_036.mp3
November 17-23,Bible Reading,Song of Solomon 6,https://cfp2.jw-cdn.org/a/7fb7bc/1/o/bi12_22_Ca_E_06.mp3
November 17-23,Bible Reading,Song of Solomon 7,https://cfp2.jw-cdn.org/a/66c957e/1/o/bi12_22_Ca_E_07.mp3
November 17-23,Bible Reading,Song of Solomon 8,https://cfp2.jw-cdn.org/a/ca3686/1/o/bi12_22_Ca_E_08.mp3
November 17-23,Congregation Bible Study,Lesson 36,https://cfp2.jw-cdn.org/a/403ddc0/1/o/lfb_E_037.mp3
November 17-23,Congregation Bible Study,Lesson 37,https://cfp2.jw-cdn.org/a/63395b/1/o/lfb_E_038.mp3
November 24-30,Bible Reading,Isaiah 1,https://cfp2.jw-cdn.org/a/b19272/1/o/bi12_23_Isa_E_01.mp3
November 24-30,Congregation Bible Study,Lesson 38,https://cfp2.jw-cdn.org/a/51d9f2/1/o/lfb_E_039.mp3
November 24-30,Congregation Bible Study,Lesson 39,https://cfp2.jw-cdn.org/a/d16450/1/o/lfb_E_040.mp3
December 1-7,Bible Reading,Isaiah 2,https://cfp2.jw-cdn.org/a/2d02b6/1/o/bi12_23_Isa_E_02.mp3
