Study Week,MP3 URL
November 10-16,https://cfp2.jw-cdn.org/a/861929/1/o/w_E_202509_01.mp3
November 17-23,https://cfp2.jw-cdn.org/a/6a6aca/1/o/w_E_202509_02.mp3
November 24-30,https://cfp2.jw-cdn.org/a/155ba6/1/o/w_E_202509_03.mp3
December 1-7,https://cfp2.jw-cdn.org/a/4edd2f/1/o/w_E_202509_04.mp3
December 8-14,https://cfp2.jw-cdn.org/a/bc2fdcd/1/o/w_E_202510_02.mp3
December 15-21,https://cfp2.jw-cdn.org/a/dba45f/1/o/w_E_202510_03.mp3
December 22-28,https://cfp2.jw-cdn.org/a/d9f278/1/o/w_E_202510_04.mp3
December 29–January 4,https://cfp2.jw-cdn.org/a/208489/1/o/w_E_202510_05.mp3
January 5-11,https://cfp2.jw-cdn.org/a/cba6bc/1/o/w_E_202511_01.mp3
January 12-18,https://cfp2.jw-cdn.org/a/cd10e9/1/o/w_E_202511_03.mp3
January 19-25,https://cfp2.jw-cdn.org/a/46091e/1/o/w_E_202511_04.mp3
January 26–February 1,https://cfp2.jw-cdn.org/a/c69c8d8/3/o/w_E_202511_05.mp3
February 2-8,https://cfp2.jw-cdn.org/a/6fa2e3/1/o/w_E_202512_01.mp3
February 9-15,https://cfp2.jw-cdn.org/a/e58ace/1/o/w_E_202512_02.mp3
February 16-22,https://cfp2.jw-cdn.org/a/3f127c5/1/o/w_E_202512_03.mp3
February 23–March 1,https://cfp2.jw-cdn.org/a/d62b6e/1/o/w_E_202512_04.mp3
March 2-8,https://cfp2.jw-cdn.org/a/b72bcf/1/o/w_E_202601_01.mp3
March 9-15,https://cfp2.jw-cdn.org/a/10da6f/1/o/w_E_202601_02.mp3
March 16-22,https://cfp2.jw-cdn.org/a/c9fd64/1/o/w_E_202601_03.mp3
March 23-29,https://cfp2.jw-cdn.org/a/4e84476/3/o/w_E_202601_04.mp3
March 30–April 5,https://cfp2.jw-cdn.org/a/1b40b22/1/o/w_E_202601_05.mp3
April 6-12,https://cfp2.jw-cdn.org/a/b72976b/1/o/w_E_202602_01.mp3
April 13-19,https://cfp2.jw-cdn.org/a/94e731/1/o/w_E_202602_02.mp3
April 20-26,https://cfp2.jw-cdn.org/a/f4acbdf/1/o/w_E_202602_03.mp3
April 27 - May 3,https://cfp2.jw-cdn.org/a/3cf4546/1/o/w_E_202602_04.mp3
